IP,Latitude,Longitude,PostCode,City,State,Country,Size,Cluster,subCluster
1.122.78.1,-32.0525,115.8878,6155.0,Willetton,WA,AU,7237,1,5.0
1.122.85.1,-32.221,116.009,6122.0,Byford,WA,AU,10347,1,4.0
1.122.95.1,-31.8273,115.9742,6055.0,Henley Brook,WA,AU,12709,1,6.0
1.122.96.1,-31.8958,115.7643,6019.0,Scarborough,WA,AU,7845,1,1.0
1.122.106.1,-31.9172,115.938,6054.0,Bassendean,WA,AU,10067,1,6.0
1.122.111.1,-31.6962,115.805,6031.0,Carramar,WA,AU,4404,1,1.0
1.122.115.1,-31.8694,115.7571,6029.0,Trigg,WA,AU,12676,1,1.0
1.122.124.1,-31.9587,115.904,6100.0,Lathlain,WA,AU,16490,1,6.0
1.122.126.1,-31.9483,115.819,6008.0,Subiaco,WA,AU,14447,1,0.0
1.122.169.1,-32.0249,115.802,6156.0,Perth,WA,AU,10620,1,5.0
1.122.177.1,-31.9113,115.8892,6052.0,Bedford,WA,AU,18532,1,3.0
1.122.184.1,-31.9147,115.8489,6050.0,Coolbinia,WA,AU,19731,1,0.0
1.122.186.1,-31.807,115.7404,6025.0,Hillarys,WA,AU,1238,1,1.0
1.122.209.1,-31.9628,115.9443,6105.0,Cloverdale,WA,AU,19556,1,6.0
1.122.224.1,-32.0397,115.8678,6148.0,Rossmoyne,WA,AU,16273,1,5.0
1.122.230.1,-32.0976,115.8192,6163.0,Perth,WA,AU,16895,1,5.0
1.122.239.1,-31.8523,115.7826,6020.0,Carine,WA,AU,1341,1,1.0
1.122.241.1,-32.0278,115.7833,6157.0,Bicton,WA,AU,19103,1,5.0
1.122.242.1,-31.9796,115.7823,6010.0,Perth,WA,AU,12869,1,0.0
1.122.246.1,-31.9485,115.8268,6904.0,Subiaco,WA,AU,19630,1,0.0
1.122.254.1,-31.981,115.8696,6151.0,Perth,WA,AU,17872,1,3.0
1.123.0.1,-34.8833,138.55,5011.0,Woodville,SA,AU,16406,5,5.0
1.123.1.1,-34.9117,138.6198,5069.0,Stepney,SA,AU,7699,5,0.0
1.123.2.1,-34.9287,138.5986,5000.0,Adelaide,SA,AU,19066,5,0.0
1.123.3.1,-34.8793,138.6356,5087.0,Klemzig,SA,AU,2470,5,1.0
1.123.4.1,-34.8159,138.6081,5095.0,Mawson Lakes,SA,AU,8024,5,1.0
1.123.6.1,-34.8685,138.628,5086.0,Greenacres,SA,AU,6656,5,1.0
1.123.8.1,-34.889,138.64700000000002,5070.0,Adelaide,SA,AU,6493,5,1.0
1.123.9.1,-34.9365,138.6272,5065.0,Glenside,SA,AU,7453,5,0.0
1.123.10.1,-34.6906,138.6686,5113.0,Elizabeth,SA,AU,6357,5,2.0
1.123.11.1,-34.8333,138.6333,5098.0,Ingle Farm,SA,AU,3189,5,1.0
1.123.14.1,-34.8333,138.7,5090.0,Hope Valley,SA,AU,12798,5,1.0
1.123.15.1,-34.9547,138.6011,5061.0,Adelaide,SA,AU,19526,5,0.0
1.123.16.1,-34.8833,138.6667,5074.0,Campbelltown,SA,AU,18547,5,1.0
1.123.19.1,-34.9167,138.65,5067.0,Kensington and Norwood,SA,AU,19012,5,1.0
1.123.23.1,-34.9314,138.6463,5068.0,Leabrook,SA,AU,2713,5,1.0
1.123.26.1,-34.9265,138.5703,5031.0,Mile End,SA,AU,7506,5,5.0
1.123.27.1,-35.1327,138.8716,5251.0,Mount Barker,SA,AU,4115,5,4.0
1.123.28.1,-34.5013,139.0462,5353.0,Angaston,SA,AU,12738,5,4.0
1.123.29.1,-34.4682,138.9977,5355.0,Nuriootpa,SA,AU,8981,5,2.0
1.123.31.1,-34.8573,138.6133,5085.0,Adelaide,SA,AU,17338,5,1.0
1.123.34.1,-34.7006,138.7096,5114.0,Craigmore,SA,AU,9874,5,2.0
1.123.35.1,-35.0382,138.5163,5049.0,Seacliff,SA,AU,19288,5,3.0
1.123.36.1,-37.5939,140.3495,5280.0,Millicent,SA,AU,18565,5,4.0
1.123.37.1,-34.7263,135.8744,5606.0,Port Lincoln,SA,AU,15992,5,2.0
1.123.38.1,-34.95,138.55,5038.0,Plympton,SA,AU,10736,5,5.0
1.123.39.1,-34.6,138.6,5501.0,Lewiston,SA,AU,13193,5,2.0
1.123.40.1,-34.7955,138.6694,5096.0,Para Hills,SA,AU,13801,5,1.0
1.123.64.1,-34.7302,135.85,,Port Lincoln,SA,AU,16972,5,2.0
1.123.132.1,-34.7194,138.6771,5112.0,Elizabeth,SA,AU,14305,5,1.0
1.123.134.1,-34.9,138.5333,5023.0,Findon,SA,AU,8989,5,5.0
1.123.135.1,-34.8759,138.615,5083.0,Broadview,SA,AU,11778,5,1.0
1.123.136.1,-34.9106,138.5605,5031.0,Torrensville,SA,AU,18694,5,5.0
1.123.138.1,-34.9,138.5167,5023.0,Seaton,SA,AU,19708,5,5.0
1.123.139.1,-34.9167,138.6667,5072.0,Magill,SA,AU,7457,5,1.0
1.123.146.1,-34.949,138.6619,5066.0,Beaumont,SA,AU,18543,5,1.0
1.123.152.1,-34.8702,138.6999,5076.0,Athelstone,SA,AU,14802,5,1.0
1.123.155.1,-34.7833,138.7333,5125.0,Golden Grove,SA,AU,2408,5,1.0
1.123.157.1,-34.85,138.65,5086.0,Oakden,SA,AU,9759,5,1.0
1.123.158.1,-34.776,138.6531,5109.0,Adelaide,SA,AU,7159,5,1.0
1.123.159.1,-34.9881,138.561,5043.0,Adelaide,SA,AU,9298,5,3.0
1.123.162.1,-34.5962,138.914,5351.0,Lyndoch,SA,AU,13481,5,2.0
1.123.166.1,-35.0076,138.7182,5152.0,Crafers,SA,AU,5419,5,1.0
1.123.168.1,-34.4771,140.571,5333.0,Loxton,SA,AU,2458,5,4.0
1.123.176.1,-35.1939,138.4761,5169.0,Moana,SA,AU,2209,5,3.0
1.124.96.1,-34.8916,138.6589,5073.0,Hectorville,SA,AU,16136,5,1.0
1.124.110.1,-34.9871,138.5367,5044.0,Glengowrie,SA,AU,10038,5,3.0
1.124.120.1,-34.6025,138.749,5118.0,Gawler,SA,AU,15700,5,2.0
1.124.160.1,-34.4222,137.9191,5571.0,Ardrossan,SA,AU,6471,5,2.0
1.125.49.1,-34.7571,138.6082,5108.0,Salisbury,SA,AU,3565,5,1.0
1.125.96.1,-34.7359,138.6872,5112.0,Hillbank,SA,AU,12035,5,1.0
1.125.105.1,-34.918,138.6869,5072.0,Woodforde,SA,AU,18196,5,1.0
1.125.110.1,-34.8333,138.6833,5092.0,Modbury,SA,AU,7043,5,1.0
1.125.216.1,-31.3906,152.8314,2444.0,Port Macquarie,NSW,AU,1819,2,5.0
1.126.64.1,-32.3151,115.7777,6168.0,Hillman,WA,AU,6341,1,4.0
1.126.108.1,-31.8329,115.7759,6023.0,Duncraig,WA,AU,13266,1,1.0
1.126.112.1,-33.3166,115.705,6232.0,Eaton,WA,AU,10931,1,4.0
1.126.192.1,-32.8741,115.927,6215.0,Waroona,WA,AU,6003,1,4.0
1.126.208.1,-37.3355,144.5399,3442.0,Woodend,VIC,AU,8025,3,12.0
1.126.252.1,-32.9278,151.7845,2300.0,Newcastle,NSW,AU,17479,2,7.0
1.126.254.1,-32.5269,115.7217,6210.0,Mandurah,WA,AU,10637,1,4.0
1.127.0.1,-32.2782,115.735,,Rockingham,WA,AU,2490,1,4.0
1.127.32.1,-33.3271,115.6414,6230.0,Bunbury,WA,AU,6587,1,4.0
1.127.40.1,-31.7624,115.7589,6027.0,Heathridge,WA,AU,19386,1,1.0
1.127.50.1,-32.1206,115.8162,6164.0,Yangebup,WA,AU,15223,1,5.0
1.127.96.1,-32.0167,115.95,6107.0,Cannington,WA,AU,11688,1,6.0
1.127.108.1,-31.9111,115.9333,6936.0,Perth,WA,AU,15588,1,6.0
1.127.109.1,-32.1435,115.8653,6164.0,Success,WA,AU,2299,1,5.0
1.127.111.1,-31.9333,115.8333,6831.0,Perth,WA,AU,8475,1,0.0
1.127.112.1,-20.3121,118.6106,6721.0,Port Hedland,WA,AU,9701,1,2.0
1.127.192.1,-32.6298,115.8735,6208.0,Pinjarra,WA,AU,6436,1,4.0
1.128.0.1,-27.471,153.023,,Brisbane,QLD,AU,15759,7,1.0
1.128.32.1,-22.0016,148.0466,4744.0,Moranbah,QLD,AU,18917,6,0.0
1.128.64.1,-18.7356,146.5779,4816.0,Palm Island,QLD,AU,18748,6,0.0
1.128.105.1,-27.0846,152.9511,4510.0,Caboolture,QLD,AU,14976,7,7.0
1.128.109.1,-27.35,152.9833,4035.0,Albany Creek,QLD,AU,18967,7,4.0
1.128.110.1,-27.5333,152.9833,4075.0,Brisbane,QLD,AU,7717,7,1.0
1.128.160.1,-33.7472,150.7444,2747.0,Kingswood,NSW,AU,6256,2,17.0
1.128.176.1,-35.148,138.471,5167.0,Port Noarlunga,SA,AU,11712,5,3.0
1.129.0.1,-37.8826,144.7003,3029.0,Hoppers Crossing,VIC,AU,11692,3,10.0
1.129.32.1,-32.8333,151.3667,2325.0,Cessnock,NSW,AU,6511,2,3.0
1.129.64.1,-33.9667,150.9,2167.0,Glenfield,NSW,AU,15786,2,4.0
1.129.96.1,-33.8591,151.2002,2000.0,Sydney,NSW,AU,1077,2,10.0
1.129.104.1,-33.842,151.2046,2060.0,Sydney,NSW,AU,3992,2,10.0
1.129.105.1,-33.6833,151.0167,2158.0,Sydney,NSW,AU,2724,2,21.0
1.129.107.1,-33.8667,151.1,2137.0,Concord,NSW,AU,1716,2,18.0
1.129.108.1,-33.8612,151.1982,1001.0,Sydney,NSW,AU,3442,2,10.0
1.129.109.1,-33.8833,151.1167,2132.0,Croydon,NSW,AU,8895,2,1.0
1.129.128.1,-34.7479,149.72799999999998,,Goulburn,NSW,AU,2169,2,16.0
1.129.160.1,-28.0003,153.4309,4217.0,Gold Coast,QLD,AU,7568,7,2.0
1.129.224.1,-37.8103,144.9544,3000.0,Melbourne,VIC,AU,13653,3,6.0
1.130.0.1,-37.7002,145.058,,Bundoora (Telstra),,AU,18814,3,13.0
1.132.96.1,-26.6957,153.13299999999998,4575.0,Buddina,QLD,AU,3536,7,3.0
1.132.97.1,-27.4667,153.05,4005.0,New Farm,QLD,AU,16966,7,0.0
1.132.110.1,-27.4178,153.0702,4011.0,Hendra,QLD,AU,17339,7,4.0
1.136.0.1,-38.1414,145.122,,Frankston,,AU,16577,3,14.0
1.136.97.1,-37.75,145.0167,3072.0,Preston,VIC,AU,17096,3,13.0
1.136.104.1,-37.9372,145.0046,3188.0,Melbourne,VIC,AU,9974,3,15.0
1.136.105.1,-37.75,144.9667,3058.0,Coburg,VIC,AU,6865,3,3.0
1.136.106.1,-37.8286,145.0077,3121.0,Melbourne,VIC,AU,6201,3,9.0
1.136.107.1,-37.8333,144.9833,3141.0,South Yarra,VIC,AU,6187,3,9.0
1.136.108.1,-37.6384,144.8074,3428.0,Bulla,VIC,AU,6217,3,12.0
1.136.109.1,-37.8333,145.0667,3124.0,Camberwell,VIC,AU,14057,3,11.0
1.136.111.1,-37.8189,145.1254,3128.0,Melbourne,VIC,AU,4475,3,11.0
1.136.128.1,-32.9333,117.8667,6361.0,Harrismith,WA,AU,10851,1,2.0
1.138.64.1,-37.836,144.9183,3207.0,Melbourne,VIC,AU,12259,3,3.0
1.143.0.1,-37.8692,144.9977,3183.0,Melbourne,VIC,AU,13195,3,9.0
1.143.28.1,-37.6982,145.0597,3083.0,Bundoora,VIC,AU,19916,3,13.0
1.143.29.1,-37.86,144.9717,3182.0,St Kilda,VIC,AU,19111,3,9.0
1.143.30.1,-38.0333,145.35,3806.0,Berwick,VIC,AU,3598,3,14.0
1.143.32.1,-37.8416,145.0177,3142.0,Toorak,VIC,AU,16613,3,9.0
1.143.60.1,-37.8,144.9833,3066.0,Melbourne,VIC,AU,10287,3,0.0
1.143.61.1,-37.8253,144.9522,3006.0,Southbank,VIC,AU,12814,3,6.0
1.143.62.1,-37.7833,144.9667,3054.0,Carlton North,VIC,AU,6125,3,3.0
1.143.63.1,-37.8667,145.0333,3144.0,Malvern,VIC,AU,4992,3,15.0
1.143.64.1,-33.2667,151.4833,2259.0,Wyongah,NSW,AU,10652,2,3.0
1.143.89.1,-32.0674,147.4517,,Wyoming,NSW,AU,11454,2,8.0
1.143.91.1,-33.8614,151.1705,2039.0,Rozelle,NSW,AU,8103,2,1.0
1.143.120.1,-34.2801,146.046,,Griffith,NSW,AU,19963,3,2.0
1.143.128.1,-33.8229,151.0078,2150.0,Parramatta,NSW,AU,14001,2,18.0
1.143.152.1,-27.5667,153.1333,4123.0,Rochedale,QLD,AU,4278,7,5.0
1.143.168.1,-34.9595,138.7309,5141.0,Summertown,SA,AU,15785,5,1.0
1.143.218.1,-32.1461,116.0093,6992.0,Armadale,WA,AU,5496,1,5.0
1.144.24.1,-35.1026,150.6297,2540.0,Sanctuary Point,NSW,AU,5130,2,9.0
1.144.32.1,-37.5667,143.8667,3350.0,Ballarat,VIC,AU,3750,3,7.0
1.144.64.1,-28.9775,153.2497,2471.0,Coraki,NSW,AU,18090,7,9.0
1.144.97.1,-33.8718,151.2271,2011.0,Rushcutters Bay,NSW,AU,1106,2,10.0
1.144.98.1,-33.7615,150.8737,2767.0,Doonside,NSW,AU,9032,2,4.0
1.144.100.1,-28.8133,153.2758,2480.0,Lismore,NSW,AU,13457,7,6.0
1.144.104.1,-33.8333,150.9833,2160.0,Merrylands,NSW,AU,15081,2,4.0
1.144.105.1,-33.8814,151.18,2037.0,Glebe,NSW,AU,5704,2,1.0
1.144.107.1,-33.85,151.0333,2144.0,Auburn,NSW,AU,17243,2,18.0
1.144.108.1,-33.8428,150.9006,2164.0,Wetherill Park,NSW,AU,2596,2,4.0
1.144.109.1,-33.8834,151.1562,2040.0,Leichhardt,NSW,AU,3778,2,1.0
1.144.111.1,-33.8157,151.1668,2066.0,Sydney,NSW,AU,6152,2,0.0
1.144.160.1,-37.7008,144.5603,3338.0,Melton South,VIC,AU,11355,3,12.0
1.144.224.1,-33.4502,151.3137,2250.0,Tascott,NSW,AU,12208,2,15.0
1.145.0.1,-37.9193,145.053,3165.0,Bentleigh East,VIC,AU,4418,3,15.0
1.145.128.1,-38.0702,145.4741,3810.0,Pakenham East,VIC,AU,9278,3,4.0
1.145.224.1,-37.7882,144.93,3031.0,Kensington,VIC,AU,8477,3,3.0
1.146.32.1,-26.0,152.4333,4570.0,Sexton,QLD,AU,15407,7,3.0
1.146.40.1,-31.9555,115.9131,6103.0,Rivervale,WA,AU,10628,1,6.0
1.146.128.1,-37.8333,145.0333,3122.0,Hawthorn,VIC,AU,13064,3,11.0
1.146.192.1,-41.2636,146.32399999999998,7310.0,Melrose,TAS,AU,7425,3,1.0
1.148.0.1,-23.8568,151.2713,4680.0,Gladstone,QLD,AU,12589,0,0.0
1.148.32.1,-30.3833,152.8833,2454.0,Gleniffer,NSW,AU,15222,7,9.0
1.151.0.1,-37.8004,144.5746,3338.0,Eynesbury,VIC,AU,8424,3,10.0
1.152.0.1,-37.7333,145.15,3095.0,Eltham,VIC,AU,5515,3,11.0
1.152.97.1,-37.8248,145.0705,3126.0,Melbourne,VIC,AU,9174,3,11.0
1.152.104.1,-37.6,144.95,3064.0,Craigieburn,VIC,AU,17898,3,3.0
1.152.105.1,-37.75,145.0,3071.0,Thornbury,VIC,AU,19860,3,13.0
1.152.107.1,-37.8149,144.9505,3008.0,Docklands,VIC,AU,14424,3,6.0
1.152.109.1,-37.8064,145.0309,3101.0,Kew,VIC,AU,7434,3,13.0
1.152.160.1,-37.4886,144.5942,3437.0,Gisborne,VIC,AU,15695,3,12.0
1.153.64.1,-33.8974,150.9345,2166.0,Parramatta,NSW,AU,11690,2,4.0
1.154.160.1,-28.3386,152.2951,4373.0,Killarney,QLD,AU,14554,7,10.0
1.155.0.1,-31.8111,115.8281,6065.0,Madeley,WA,AU,5679,1,1.0
1.155.32.1,-33.7103,150.3753,2782.0,Wentworth Falls,NSW,AU,3836,2,17.0
1.155.224.1,-37.7876,145.1489,3109.0,Doncaster East,VIC,AU,19757,3,11.0
1.156.48.1,-38.1535,144.3581,3220.0,Geelong,VIC,AU,17145,3,10.0
1.158.192.1,-28.8949,153.4304,2477.0,Tuckombil,NSW,AU,11741,7,6.0
58.160.33.1,-27.4227,153.0335,4030.0,Wooloowin,QLD,AU,19932,7,4.0
58.160.37.1,-27.4167,152.9833,4051.0,Gaythorne,QLD,AU,12036,7,4.0
58.160.53.1,-33.6833,151.1,2077.0,Asquith,NSW,AU,10062,2,15.0
58.160.56.1,-33.8708,151.2792,2030.0,Dover Heights,NSW,AU,9872,2,12.0
58.160.58.1,-33.9202,151.2224,2033.0,Kensington,NSW,AU,6308,2,12.0
